Indice, Tempo Central, N̼mero de Chegadas (total 100000000)
0, 0.006250, 95871
1, 0.018750, 86763
2, 0.031250, 77565
3, 0.043750, 70850
4, 0.056250, 64337
5, 0.068750, 57834
6, 0.081250, 52325
7, 0.093750, 47305
8, 0.106250, 42637
9, 0.118750, 38605
10, 0.131250, 34896
11, 0.143750, 31526
12, 0.156250, 28378
13, 0.168750, 25947
14, 0.181250, 23453
15, 0.193750, 21251
16, 0.206250, 18973
17, 0.218750, 17283
18, 0.231250, 15755
19, 0.243750, 14350
20, 0.256250, 13085
21, 0.268750, 11674
22, 0.281250, 10479
23, 0.293750, 9413
24, 0.306250, 8602
25, 0.318750, 7748
26, 0.331250, 6946
27, 0.343750, 6164
28, 0.356250, 5863
29, 0.368750, 5122
30, 0.381250, 4721
31, 0.393750, 4279
32, 0.406250, 3919
33, 0.418750, 3404
34, 0.431250, 3199
35, 0.443750, 2832
36, 0.456250, 2573
37, 0.468750, 2419
38, 0.481250, 2044
39, 0.493750, 1901
40, 0.506250, 1698
41, 0.518750, 1498
42, 0.531250, 1390
43, 0.543750, 1266
44, 0.556250, 1120
45, 0.568750, 1014
46, 0.581250, 939
47, 0.593750, 815
48, 0.606250, 744
49, 0.618750, 675
50, 0.631250, 656
51, 0.643750, 563
52, 0.656250, 532
53, 0.668750, 496
54, 0.681250, 433
55, 0.693750, 374
56, 0.706250, 363
57, 0.718750, 323
58, 0.731250, 282
59, 0.743750, 246
60, 0.756250, 236
61, 0.768750, 206
62, 0.781250, 171
63, 0.793750, 149
64, 0.806250, 152
65, 0.818750, 165
66, 0.831250, 115
67, 0.843750, 101
68, 0.856250, 107
69, 0.868750, 99
70, 0.881250, 98
71, 0.893750, 75
72, 0.906250, 62
73, 0.918750, 60
74, 0.931250, 47
75, 0.943750, 53
76, 0.956250, 61
77, 0.968750, 51
78, 0.981250, 29
79, 0.993750, 341
