Indice, Tempo Central, N̼mero de Chegadas (total 100000)
0, 0.006250, 9680
1, 0.018750, 8619
2, 0.031250, 7743
3, 0.043750, 6970
4, 0.056250, 6348
5, 0.068750, 5871
6, 0.081250, 5283
7, 0.093750, 4702
8, 0.106250, 4241
9, 0.118750, 3893
10, 0.131250, 3520
11, 0.143750, 3106
12, 0.156250, 2802
13, 0.168750, 2575
14, 0.181250, 2359
15, 0.193750, 2179
16, 0.206250, 1914
17, 0.218750, 1773
18, 0.231250, 1571
19, 0.243750, 1421
20, 0.256250, 1321
21, 0.268750, 1101
22, 0.281250, 997
23, 0.293750, 1016
24, 0.306250, 878
25, 0.318750, 812
26, 0.331250, 697
27, 0.343750, 626
28, 0.356250, 491
29, 0.368750, 509
30, 0.381250, 449
31, 0.393750, 468
32, 0.406250, 424
33, 0.418750, 348
34, 0.431250, 301
35, 0.443750, 266
36, 0.456250, 245
37, 0.468750, 241
38, 0.481250, 185
39, 0.493750, 191
40, 0.506250, 197
41, 0.518750, 152
42, 0.531250, 138
43, 0.543750, 112
44, 0.556250, 119
45, 0.568750, 114
46, 0.581250, 93
47, 0.593750, 104
48, 0.606250, 82
49, 0.618750, 67
50, 0.631250, 70
51, 0.643750, 63
52, 0.656250, 49
53, 0.668750, 47
54, 0.681250, 31
55, 0.693750, 42
56, 0.706250, 47
57, 0.718750, 18
58, 0.731250, 29
59, 0.743750, 31
60, 0.756250, 28
61, 0.768750, 21
62, 0.781250, 23
63, 0.793750, 16
64, 0.806250, 11
65, 0.818750, 15
66, 0.831250, 11
67, 0.843750, 15
68, 0.856250, 9
69, 0.868750, 11
70, 0.881250, 8
71, 0.893750, 5
72, 0.906250, 8
73, 0.918750, 6
74, 0.931250, 9
75, 0.943750, 3
76, 0.956250, 7
77, 0.968750, 4
78, 0.981250, 2
79, 0.993750, 47
